"date","Open","High","Low","Close","Volume","Adjusted"
2017-04-27,195.429993,196.539993,195.110001,196.110001,1770200,173.793472
2017-04-28,196.149994,197.119995,195.539993,195.830002,2467100,173.545334
2017-05-01,195.5,195.729996,194.470001,194.809998,1498500,172.641403
2017-05-02,195.160004,196.529999,194.580002,196.529999,2467200,174.16568
2017-05-03,196.600006,197.869995,195.710007,197.630005,2339500,175.140488
2017-05-04,198.300003,199.539993,197.759995,199.509995,2320800,176.80658
2017-05-05,199.669998,199.899994,198.979996,199.399994,1688600,176.709106
2017-05-08,198.839996,199.149994,198.300003,198.649994,1575900,176.044418
2017-05-09,199.360001,199.360001,197.529999,197.960007,1747800,175.432953
2017-05-10,197.369995,197.589996,196.529999,196.639999,2247700,174.263138
2017-05-11,196.039993,196.940002,195.259995,196.75,1705000,174.360672
2017-05-12,195.899994,197.119995,195.860001,196.570007,1323100,174.201141
2017-05-15,196.669998,197.740005,196.229996,197.630005,1474500,175.140488
2017-05-16,197.479996,197.940002,196.860001,197.910004,1183600,175.388641
2017-05-17,196.740005,196.740005,194.720001,194.839996,1881800,173.699249
2017-05-18,194.5,195.820007,193.539993,195.240005,1929000,174.055878
2017-05-19,196.300003,196.300003,194.449997,195.800003,1894700,174.555069
2017-05-22,196.350006,198.669998,196.350006,198.509995,1835900,176.971069
2017-05-23,198.729996,198.970001,197.520004,197.729996,1514200,176.275681
2017-05-24,198.490005,198.529999,197.279999,197.490005,1206400,176.061722
2017-05-25,198.410004,199.610001,197.75,199.539993,1508000,177.889297
2017-05-26,199.139999,200.690002,198.970001,200.669998,1410600,178.896683
2017-05-30,200.309998,203.029999,199.960007,202.440002,2171100,180.47464
2017-05-31,202.729996,204.470001,202.270004,204.470001,3096800,182.284348
2017-06-01,204.25,204.899994,203.679993,204.350006,2352700,182.177414
2017-06-02,205.059998,207.389999,204.789993,206.699997,1831900,184.2724
2017-06-05,206.770004,207.330002,206.220001,206.220001,1253100,183.844528
2017-06-06,206.009995,206.660004,205.410004,205.410004,1458800,183.122391
2017-06-07,205.729996,205.869995,204.100006,205.009995,1885600,182.765778
2017-06-08,205.009995,206.029999,204.089996,205.940002,2451300,183.594864
2017-06-09,206,206.970001,205.639999,206.929993,1893100,184.477448
2017-06-12,206.929993,208.419998,205.5,207.389999,2388200,184.887558
2017-06-13,207.580002,209.669998,207.559998,209.110001,1688800,186.420914
2017-06-14,209.779999,210.789993,209.529999,210.009995,1585300,187.223251
2017-06-15,209.5,211.320007,209.440002,211.289993,1594100,188.36438
2017-06-16,211.729996,213.460007,211.440002,213.240005,3420600,190.102798
2017-06-19,214,214,212.699997,213.360001,1667600,190.209747
2017-06-20,213.449997,214.570007,213.050003,213.360001,1531200,190.209747
2017-06-21,214.020004,214.020004,212.089996,212.860001,1812900,189.763992
2017-06-22,212.729996,213.119995,212.089996,212.220001,1400400,189.193481
2017-06-23,212,213.169998,211.710007,212.899994,1584900,189.799713
2017-06-26,212.789993,213.470001,212.309998,212.610001,1352100,189.541168
2017-06-27,212,212.5,209.380005,209.779999,2240200,187.018234
2017-06-28,210.779999,211.179993,210.089996,210.619995,1542900,187.767059
2017-06-29,211.050003,211.050003,207.080002,207.850006,1809900,185.297638
2017-06-30,209.910004,209.910004,207.850006,208.190002,1770000,185.600754
2017-07-03,209.139999,210.339996,208.75,209.830002,1040200,187.06279
2017-07-05,210,210.240005,209.410004,209.759995,1065300,187.000381
2017-07-06,209.050003,209.720001,207.889999,208.020004,1189900,185.449158
2017-07-07,208.5,210.149994,208.050003,209.589996,1531000,186.848831
2017-07-10,209.600006,211.740005,208.990005,210.490005,1308400,187.651199
2017-07-11,210.410004,211.199997,208,209.660004,1268100,186.91127
2017-07-12,210.910004,212.779999,210.270004,211.300003,1447900,188.373306
2017-07-13,211.199997,212,210.179993,211.089996,1138800,188.186081
2017-07-14,211.520004,212.240005,210.630005,211.770004,1062000,188.792328
2017-07-17,212.199997,212.199997,210.589996,211.679993,1311300,188.712051
2017-07-18,210.679993,211.520004,210.300003,211.309998,1562600,188.382233
2017-07-19,211.509995,212.110001,211.169998,212.100006,825300,189.086502
2017-07-20,212.210007,213.410004,212.059998,212.449997,1347400,189.398529
2017-07-21,211.649994,211.839996,209.479996,211.160004,2246200,188.248474
2017-07-24,211.199997,211.660004,210,210,2165200,187.214355
2017-07-25,202.649994,204.5,197.169998,199.389999,6593000,177.755569
2017-07-26,200.449997,201.149994,198.550003,199.029999,2922100,177.434647
2017-07-27,199.139999,200.559998,197.669998,200.050003,2174500,178.343979
2017-07-28,200.789993,201.039993,198.690002,199.720001,1488000,178.049774
2017-07-31,200,201.660004,199.809998,201.169998,1833600,179.342422
2017-08-01,202.289993,203.309998,201.759995,203.179993,2015100,181.134308
2017-08-02,203.190002,205.600006,202.820007,205.410004,2029600,183.122391
2017-08-03,205.910004,207.639999,205.119995,207.619995,2054200,185.092575
2017-08-04,207.949997,208.610001,206.110001,207.649994,1522700,185.119339
2017-08-07,207.899994,208.399994,206.679993,207.440002,1172600,184.932114
2017-08-08,206.830002,207.889999,205.690002,206.429993,1856300,184.031708
2017-08-09,206.690002,207.910004,205.589996,206.479996,1622200,184.076263
2017-08-10,205.619995,207.160004,205.179993,206.229996,1571500,183.853409
2017-08-11,206.850006,206.850006,205.630005,205.979996,1452800,183.630524
2017-08-14,206.660004,207.630005,206.070007,207.369995,1264400,184.869705
2017-08-15,207,207.839996,206.509995,207.179993,1048500,184.700333
2017-08-16,207.210007,208.630005,206.619995,207.919998,1704300,185.360046
2017-08-17,207.789993,208.119995,205.279999,205.350006,1396500,183.068909
2017-08-18,205.350006,205.630005,203.449997,203.529999,1838600,181.44635
2017-08-21,203.800003,204.899994,203.009995,204.550003,1567600,182.355698
2017-08-22,205.199997,205.860001,204.630005,205.460007,2091200,183.166962
2017-08-23,204.050003,204.100006,202.320007,202.669998,1267300,181.718887
2017-08-24,203.889999,203.889999,201.960007,202.119995,1230800,181.225784
2017-08-25,203.440002,203.449997,202.050003,202.130005,1238100,181.234756
2017-08-28,202.779999,203.270004,201.850006,202.460007,1174700,181.53064
2017-08-29,202.199997,203.080002,201.330002,202.919998,991300,181.943069
2017-08-30,202.919998,203.690002,202,203.690002,1196200,182.633484
2017-08-31,204.320007,204.619995,203.020004,204.320007,1567900,183.198334
2017-09-01,204.610001,204.910004,203.229996,203.559998,1413000,182.516907
2017-09-05,202.25,202.529999,200.509995,200.979996,1934500,180.203613
2017-09-06,201.75,202.25,201.240005,202.050003,2236200,181.16301
2017-09-07,201.470001,204.710007,201.470001,204.460007,1701500,183.323883
2017-09-08,204.350006,206.119995,203.160004,205.690002,1474000,184.426697
2017-09-11,206.460007,209.779999,206.089996,209.559998,1806700,187.896652
2017-09-12,209.910004,210.960007,209.259995,209.639999,1441200,187.968369
2017-09-13,209.119995,210.289993,208.570007,209.490005,1129600,187.833908
2017-09-14,209.149994,211.910004,208.740005,211.429993,1984200,189.573334
2017-09-15,212.589996,214.119995,210.660004,213.350006,3636400,191.294861
2017-09-18,214,214.039993,212.570007,213.759995,1272400,191.662476
2017-09-19,214.229996,214.649994,212.850006,213.559998,1429700,191.483154
2017-09-20,211.770004,212.600006,208.309998,210.509995,2987200,188.748444
2017-09-21,210.899994,211.619995,210.240005,210.440002,1382400,188.685684
2017-09-22,209.639999,211.300003,209.279999,210.759995,1493300,188.972626
2017-09-25,210.979996,211.220001,209.369995,210.729996,1609200,188.945724
2017-09-26,211.259995,212.830002,210.929993,211.029999,1224600,189.214706
2017-09-27,211.089996,211.380005,208.160004,209.479996,1865100,187.824951
2017-09-28,208.300003,209.880005,208.25,209.550003,2092800,187.88768
2017-09-29,209.059998,209.899994,208.729996,209.899994,1632200,188.201523
2017-10-02,210.729996,212.789993,210.029999,212.759995,1292100,190.765854
